"vars_manip_1","vars_manip_2","vars_manip","distrib","Cell_population","Cell2_population","relativecA","relativeI","cA","irate","relativeR","relativeChi","Chi","relativecR","cR","relativeY","Y","relativeb","b","Cell2_Cell1"
"I","cA","I_vs_cA","global",1.6007e+11,6732600000,0.44,100,4.17e-16,1e-14,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.0420603485974886
"I","cA","I_vs_cA","global",1.6007e+11,6732600000,0.67,100,4.17e-16,1e-14,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.0420603485974886
"I","cA","I_vs_cA","global",1.6007e+11,6732600000,1,100,4.17e-16,1e-14,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.0420603485974886
"I","cA","I_vs_cA","global",1.6007e+11,6732600000,1.5,100,4.17e-16,1e-14,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.0420603485974886
"I","cA","I_vs_cA","global",1.6007e+11,6732700000,2.25,100,4.17e-16,1e-14,0.01,NA,NA,NA,NA,NA,NA,NA,NA,0.0420609733241707
"I","cA","I_vs_cA","global",1.6682e+11,6.7529e+10,0.44,10,4.17e-16,1e-14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.404801582544059
"I","cA","I_vs_cA","global",1.6682e+11,6.7529e+10,0.67,10,4.17e-16,1e-14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.404801582544059
"I","cA","I_vs_cA","global",1.6682e+11,6.7529e+10,1,10,4.17e-16,1e-14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.404801582544059
"I","cA","I_vs_cA","global",1.6682e+11,6.7529e+10,1.5,10,4.17e-16,1e-14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.404801582544059
"I","cA","I_vs_cA","global",1.6682e+11,6.753e+10,2.25,10,4.17e-16,1e-14,0.1,NA,NA,NA,NA,NA,NA,NA,NA,0.404807577029133
"I","cA","I_vs_cA","global",4.47e+11,4.47e+11,0.44,1,4.17e-16,1e-14,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"I","cA","I_vs_cA","global",4.47e+11,4.47e+11,0.67,1,4.17e-16,1e-14,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"I","cA","I_vs_cA","global",4.4701e+11,4.4701e+11,1,1,4.17e-16,1e-14,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"I","cA","I_vs_cA","global",4.4702e+11,4.4702e+11,1.5,1,4.17e-16,1e-14,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"I","cA","I_vs_cA","global",4.4704e+11,4.4704e+11,2.25,1,4.17e-16,1e-14,1,NA,NA,NA,NA,NA,NA,NA,NA,1
"I","cA","I_vs_cA","global",7.6605e+11,1.6689e+12,0.44,0.1,4.17e-16,1e-14,10,NA,NA,NA,NA,NA,NA,NA,NA,2.17857842177404
"I","cA","I_vs_cA","global",7.6609e+11,1.669e+12,0.67,0.1,4.17e-16,1e-14,10,NA,NA,NA,NA,NA,NA,NA,NA,2.17859520421883
"I","cA","I_vs_cA","global",7.6614e+11,1.6691e+12,1,0.1,4.17e-16,1e-14,10,NA,NA,NA,NA,NA,NA,NA,NA,2.17858354869867
"I","cA","I_vs_cA","global",7.6622e+11,1.6692e+12,1.5,0.1,4.17e-16,1e-14,10,NA,NA,NA,NA,NA,NA,NA,NA,2.17848659653885
"I","cA","I_vs_cA","global",7.6633e+11,1.6694e+12,2.25,0.1,4.17e-16,1e-14,10,NA,NA,NA,NA,NA,NA,NA,NA,2.17843487792465
"I","cA","I_vs_cA","global",8.6468e+11,1.3779e+13,0.44,0.01,4.17e-16,1e-14,100,NA,NA,NA,NA,NA,NA,NA,NA,15.9353749363927
"I","cA","I_vs_cA","global",8.6489e+11,1.3786e+13,0.67,0.01,4.17e-16,1e-14,100,NA,NA,NA,NA,NA,NA,NA,NA,15.9395992553966
"I","cA","I_vs_cA","global",8.6519e+11,1.3797e+13,1,0.01,4.17e-16,1e-14,100,NA,NA,NA,NA,NA,NA,NA,NA,15.9467862550422
"I","cA","I_vs_cA","global",8.6566e+11,1.3813e+13,1.5,0.01,4.17e-16,1e-14,100,NA,NA,NA,NA,NA,NA,NA,NA,15.9566111406326
